         4210327 function calls (4155037 primitive calls) in 4.256 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1878    0.007    0.000    0.037    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      171    0.007    0.000    0.016    0.000 __init__.py:345(namedtuple)
     3625    0.007    0.000    0.008    0.000 <frozen importlib._bootstrap>:112(release)
10224/10091    0.007    0.000    0.007    0.000 {method 'format' of 'str' objects}
    20924    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
     3216    0.006    0.000    0.014    0.000 typing.py:137(_type_check)
        4    0.006    0.001    0.006    0.001 {method 'close' of 'netCDF4._netCDF4.Dataset' objects}
    19101    0.006    0.000    0.007    0.000 sre_parse.py:172(append)
    49833    0.006    0.000    0.006    0.000 {method 'rstrip' of 'str' objects}
    10943    0.006    0.000    0.006    0.000 {method 'match' of 're.Pattern' objects}
17058/16780    0.005    0.000    0.009    0.000 abstract.py:117(__hash__)
     1962    0.005    0.000    0.005    0.000 {built-in method _abc._abc_init}
      193    0.005    0.000    7.559    0.039 __init__.py:1(<module>)
     1352    0.005    0.000    0.006    0.000 functions.py:247(__init__)
     1542    0.005    0.000    0.024    0.000 typing.py:738(__init__)
     3352    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     1676    0.005    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
    21562    0.005    0.000    0.006    0.000 inspect.py:159(isfunction)
    44895    0.004    0.000    0.004    0.000 {method 'pop' of 'list' objects}
        5    0.004    0.001    0.004    0.001 {method 'ncattrs' of 'netCDF4._netCDF4.Dataset' objects}
       71    0.004    0.000    0.011    0.000 enum.py:179(__new__)
     9396    0.004    0.000    0.181    0.000 inspect.py:3111(signature)
    14780    0.004    0.000    0.004    0.000 {method 'rpartition' of 'str' objects}
     9396    0.004    0.000    0.177    0.000 inspect.py:2859(from_callable)
      114    0.004    0.000    0.283    0.002 artist.py:1491(pprint_setters)
      880    0.004    0.000    0.011    0.000 version.py:205(_legacy_cmpkey)
 1080/407    0.004    0.000    0.094    0.000 sre_parse.py:435(_parse_sub)
    27357    0.004    0.000    0.004    0.000 enum.py:670(__new__)
     2184    0.004    0.000    0.013    0.000 inspect.py:545(_finddoc)
      100    0.004    0.000    0.004    0.000 clouds.py:136(<listcomp>)
     1850    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      323    0.004    0.000    0.007    0.000 dataset.py:1390(_construct_dataarray)
     6746    0.004    0.000    0.015    0.000 event.py:193(broadcast)
     5620    0.004    0.000    0.011    0.000 event.py:227(notify)
     8964    0.004    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
  1676/12    0.004    0.000    2.322    0.193 <frozen importlib._bootstrap_external>:844(exec_module)
     4000    0.004    0.000    0.008    0.000 artist.py:1448(aliased_name)
     8675    0.004    0.000    0.007    0.000 {built-in method builtins.max}
 2748/501    0.004    0.000    2.156    0.004 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     3373    0.004    0.000    0.013    0.000 event.py:374(start_event)
     9988    0.004    0.000    0.006    0.000 typing.py:664(_is_dunder)
    13910    0.004    0.000    0.004    0.000 {built-in method builtins.setattr}
       88    0.003    0.000    0.012    0.000 configparser.py:1320(__init__)
5090/4582    0.003    0.000    0.064    0.000 typing.py:271(inner)
     1065    0.003    0.000    0.024    0.000 variable.py:291(__init__)
      110    0.003    0.000    0.003    0.000 clouds.py:124(<listcomp>)
     7299    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
     7472    0.003    0.000    0.006    0.000 version.py:187(_parse_version_parts)
      110    0.003    0.000    0.020    0.000 context.py:418(install_registry)
       85    0.003    0.000    0.014    0.000 netCDF4_.py:390(open_store_variable)
       85    0.003    0.000    0.291    0.003 conventions.py:282(decode_cf_variable)
       40    0.003    0.000    0.015    0.000 castgraph.py:92(propagate)
     3373    0.003    0.000    0.016    0.000 event.py:388(end_event)
     1676    0.003    0.000    0.193    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      615    0.003    0.000    0.030    0.000 textwrap.py:414(dedent)
     6746    0.003    0.000    0.007    0.000 event.py:84(__init__)
    41524    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
      660    0.003    0.000    0.047    0.000 clouds.py:69(make_mask)
3255/1330    0.003    0.000    0.004    0.000 {built-in method _abc._abc_subclasscheck}
     2184    0.003    0.000    0.006    0.000 inspect.py:535(_findclass)
     1676    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
    27632    0.003    0.000    0.003    0.000 {method 'isidentifier' of 'str' objects}
       89    0.003    0.000    0.008    0.000 traitlets.py:219(getmembers)
23894/21144    0.003    0.000    0.004    0.000 {built-in method builtins.hash}
1878/1870    0.003    0.000    0.091    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
4320/4300    0.003    0.000    0.075    0.000 {built-in method builtins.sorted}
     4793    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:398(parent)
     1085    0.003    0.000    0.003    0.000 {method 'split' of 're.Pattern' objects}
        2    0.003    0.001    0.003    0.001 {built-in method _ctypes.dlopen}
    30197    0.003    0.000    0.003    0.000 inspect.py:2548(name)
     5028    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
    14716    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
     8974    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:878(__exit__)
     2132    0.003    0.000    0.004    0.000 posixpath.py:71(join)
    10336    0.003    0.000    0.005    0.000 inspect.py:514(_is_wrapper)
     1897    0.003    0.000    0.007    0.000 copy.py:66(copy)
       30    0.003    0.000    0.016    0.001 __init__.py:759(_rc_params_in_file)
      376    0.003    0.000    0.019    0.000 _util.py:349(getfullargspec_no_self)
     8974    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:874(__enter__)
     1232    0.003    0.000    0.006    0.000 version.py:271(__init__)
1671/1666    0.003    0.000    0.017    0.000 abstract.py:60(__call__)
     2122    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:185(cb)
       88    0.002    0.000    0.005    0.000 configparser.py:996(_read)
     2810    0.002    0.000    0.003    0.000 event.py:254(on_end)
     1748    0.002    0.000    0.007    0.000 abstract.py:48(_intern)
     5205    0.002    0.000    0.034    0.000 re.py:198(search)
     1592    0.002    0.000    0.004    0.000 typing.py:191(_collect_type_vars)
     1850    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
     3363    0.002    0.000    0.020    0.000 ffi.py:73(__exit__)
      619    0.002    0.000    0.011    0.000 templates.py:815(make_overload_template)
      947    0.002    0.000    0.004    0.000 pathlib.py:742(__str__)
     2122    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
       85    0.002    0.000    0.005    0.000 netCDF4_.py:51(__init__)
     3363    0.002    0.000    0.018    0.000 ffi.py:67(__enter__)
     3526    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap>:385(cached)
     3907    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
      111    0.002    0.000    0.003    0.000 function_base.py:814(gradient)
     1262    0.002    0.000    0.009    0.000 fromnumeric.py:69(_wrapreduction)
      162    0.002    0.000    0.003    0.000 templates.py:1033(make_overload_attribute_template)
     6790    0.002    0.000    0.003    0.000 event.py:50(_guard_kind)
     3374    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
     2220    0.002    0.000    0.014    0.000 utils.py:558(ndim)
      612    0.002    0.000    0.003    0.000 _inspect.py:65(getargs)
    14814    0.002    0.000    0.002    0.000 {built-in method _imp.acquire_lock}
     1850    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
     2134    0.002    0.000    0.040    0.000 <frozen importlib._bootstrap>:156(__enter__)
    14814    0.002    0.000    0.002    0.000 {built-in method _imp.release_lock}
     8711    0.002    0.000    0.003    0.000 sre_parse.py:249(match)
     1962    0.002    0.000    0.037    0.000 abc.py:105(__new__)
     1065    0.002    0.000    0.012    0.000 variable.py:575(_parse_dimensions)
   863/40    0.002    0.000    2.192    0.055 {built-in method builtins.__import__}
