         4210327 function calls (4155037 primitive calls) in 4.256 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       39    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
       11    0.000    0.000    0.122    0.011 base.py:267(refresh)
        2    0.000    0.000    0.111    0.055 application.py:1(<module>)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
      295    0.000    0.000    0.000    0.000 typing.py:337(__repr__)
       85    0.000    0.000    0.000    0.000 {method 'chunking' of 'netCDF4._netCDF4.Variable' objects}
       60    0.000    0.000    0.001    0.000 __init__.py:738(_open_file_or_url)
        1    0.000    0.000    0.001    0.001 std.py:846(__init__)
     1842    0.000    0.000    0.000    0.000 __init__.py:759(<lambda>)
       13    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
       15    0.000    0.000    0.021    0.001 times.py:218(decode_cf_datetime)
        2    0.000    0.000    0.006    0.003 value.py:1(<module>)
      516    0.000    0.000    0.000    0.000 misc.py:109(key)
       85    0.000    0.000    0.000    0.000 netCDF4_.py:187(_ensure_fill_value_valid)
       49    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
        3    0.000    0.000    0.003    0.001 polynomial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 interactiveshell.py:340(InteractiveShell)
       15    0.000    0.000    0.002    0.000 module.py:11(parse_assembly)
       10    0.000    0.000    0.070    0.007 formatting.py:56(first_n_items)
       40    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
      128    0.000    0.000    0.002    0.000 stride_tricks.py:366(broadcast_to)
      402    0.000    0.000    0.000    0.000 dataset.py:516(__init__)
        1    0.000    0.000    0.087    0.087 __init__.py:25(<module>)
      836    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       11    0.000    0.000    0.072    0.007 codegen.py:896(_unserialize)
       98    0.000    0.000    0.003    0.000 variable.py:2790(level_names)
       49    0.000    0.000    0.033    0.001 decorators.py:248(njit)
       20    0.000    0.000    0.001    0.000 indexing.py:359(__getitem__)
        1    0.000    0.000    0.000    0.000 stata.py:726(StataMissingValue)
       20    0.000    0.000    0.000    0.000 filters.py:331(__init__)
      133    0.000    0.000    0.000    0.000 __init__.py:925(__init__)
       11    0.000    0.000    0.002    0.000 caching.py:607(__init__)
       71    0.000    0.000    0.000    0.000 enum.py:197(<dictcomp>)
      783    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
      129    0.000    0.000    0.000    0.000 configparser.py:1362(__iter__)
       37    0.000    0.000    0.000    0.000 compiler_machinery.py:390(make_festive)
       84    0.000    0.000    0.000    0.000 warnings.py:437(__init__)
  213/110    0.000    0.000    0.001    0.000 core.py:1818(default_name)
       54    0.000    0.000    0.000    0.000 extending.py:526(is_jitted)
       29    0.000    0.000    0.000    0.000 pathlib.py:556(_select_from)
       20    0.000    0.000    0.003    0.000 base.py:5843(_maybe_asobject)
       88    0.000    0.000    0.001    0.000 environment.py:46(_rebuild_env)
       13    0.000    0.000    0.001    0.000 executionengine.py:189(_raw_object_cache_getbuffer)
      701    0.000    0.000    0.000    0.000 contextlib.py:379(__enter__)
      219    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       46    0.000    0.000    0.000    0.000 common.py:1296(is_float_dtype)
       27    0.000    0.000    0.002    0.000 pyparsing.py:1039(_trim_arity)
       11    0.000    0.000    0.051    0.005 cpu.py:65(load_additional_registries)
      174    0.000    0.000    0.005    0.000 utils.py:498(__getitem__)
        1    0.000    0.000    0.008    0.008 distance.py:1(<module>)
   112/55    0.000    0.000    0.002    0.000 core.py:3693(copy)
        1    0.000    0.000    0.000    0.000 ufunc_db.py:46(_fill_ufunc_db)
      392    0.000    0.000    0.000    0.000 utils.py:21(to_filter)
        2    0.000    0.000    0.001    0.001 nanops.py:1(<module>)
      133    0.000    0.000    0.000    0.000 pkgutil.py:406(get_importer)
        8    0.000    0.000    0.005    0.001 dataset.py:1296(<dictcomp>)
      121    0.000    0.000    0.001    0.000 indexing.py:543(__init__)
       11    0.000    0.000    0.001    0.000 decorator.py:144(make)
        2    0.000    0.000    0.001    0.001 numbers.py:1(<module>)
       15    0.000    0.000    0.007    0.000 extension.py:136(method)
      380    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
       96    0.000    0.000    0.000    0.000 module.py:208(__init__)
        1    0.000    0.000    0.002    0.002 core.py:5961(take)
      381    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
       15    0.000    0.000    0.004    0.000 extension.py:154(_wrap_arithmetic_op)
      350    0.000    0.000    0.000    0.000 common.py:4(_encode_string)
       26    0.000    0.000    0.008    0.000 pyparsing.py:2779(__init__)
       34    0.000    0.000    0.003    0.000 __init__.py:621(_arith_method_FRAME)
       50    0.000    0.000    0.000    0.000 indexing.py:1128(__init__)
  264/157    0.000    0.000    0.001    0.000 core.py:1843(name)
      468    0.000    0.000    0.000    0.000 pyparsing.py:2153(__str__)
       62    0.000    0.000    0.016    0.000 deprecation.py:192(finalize)
       13    0.000    0.000    0.001    0.000 targets.py:80(get_host_cpu_name)
      290    0.000    0.000    0.000    0.000 _decorators.py:455(__init__)
       15    0.000    0.000    0.003    0.000 datetimelike.py:1393(__add__)
      302    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        8    0.000    0.000    0.000    0.000 types.py:69(new_class)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
      383    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
       44    0.000    0.000    0.000    0.000 event.py:321(install_timer)
       37    0.000    0.000    0.000    0.000 datetimes.py:2183(_validate_dt64_dtype)
      178    0.000    0.000    0.001    0.000 __init__.py:1304(safe_name)
       15    0.000    0.000    0.000    0.000 timedeltas.py:190(_simple_new)
      382    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
       83    0.000    0.000    0.001    0.000 pyparsing.py:1821(__add__)
       44    0.000    0.000    0.000    0.000 templates.py:1082(wrapper)
       50    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.002    0.001 models.py:1(<module>)
      121    0.000    0.000    0.000    0.000 indexing.py:500(_wrap_numpy_scalars)
       11    0.000    0.000    0.001    0.000 decorator.py:75(__init__)
        1    0.000    0.000    0.000    0.000 instructions.py:277(SelectInstr)
       42    0.000    0.000    0.001    0.000 indexing.py:718(decompose_indexer)
       11    0.000    0.000    0.000    0.000 core.py:2974(__array_finalize__)
      143    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
       41    0.000    0.000    0.002    0.000 configparser.py:859(<listcomp>)
       25    0.000    0.000    0.000    0.000 indexing.py:167(_index_indexer_1d)
      127    0.000    0.000    0.000    0.000 extension.py:21(inherit_from_data)
        2    0.000    0.000    0.004    0.002 format.py:1(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      625    0.000    0.000    0.000    0.000 multiarray.py:148(concatenate)
      290    0.000    0.000    0.000    0.000 file_manager.py:312(__hash__)
      170    0.000    0.000    0.000    0.000 {built-in method pandas._libs.missing.checknull}
       40    0.000    0.000    0.001    0.000 __init__.py:2034(getLogger)
       49    0.000    0.000    0.000    0.000 common.py:1733(pandas_dtype)
        4    0.000    0.000    0.003    0.001 ops.py:1(<module>)
        9    0.000    0.000    0.001    0.000 patches.py:2262(__init_subclass__)
        1    0.000    0.000    0.009    0.009 ir_utils.py:6(<module>)
      246    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
        4    0.000    0.000    0.004    0.001 concat.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _base.py:541(_AxesBase)
        1    0.000    0.000    0.012    0.012 dictobject.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _testing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:365(<dictcomp>)
       25    0.000    0.000    0.000    0.000 dtypes.py:1119(is_dtype)
       72    0.000    0.000    0.000    0.000 magic_arguments.py:73(_format_action_invocation)
       10    0.000    0.000    0.632    0.063 common.py:1315(isnull)
        1    0.000    0.000    0.002    0.002 socket.py:4(<module>)
       27    0.000    0.000    0.002    0.000 traceback.py:200(extract_stack)
       14    0.000    0.000    0.000    0.000 core.py:199(__init__)
       82    0.000    0.000    0.000    0.000 __init__.py:1842(make_alias)
  130/127    0.000    0.000    0.000    0.000 _utils.py:54(get_reference)
        9    0.000    0.000    0.000    0.000 common.py:48(__init__)
       32    0.000    0.000    0.000    0.000 colors.py:369(<setcomp>)
       37    0.000    0.000    0.000    0.000 dtypes.py:906(is_dtype)
        2    0.000    0.000    0.002    0.001 pytables.py:1(<module>)
       27    0.000    0.000    0.003    0.000 gettext.py:598(translation)
       11    0.000    0.000    0.001    0.000 caching.py:116(ensure_cache_path)
      507    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       30    0.000    0.000    0.000    0.000 generic.py:102(generate_property)
    24/12    0.000    0.000    0.001    0.000 core.py:4068(parseImpl)
       11    0.000    0.000    0.001    0.000 caching.py:505(_load_index)
       91    0.000    0.000    0.002    0.000 pathlib.py:966(joinpath)
       11    0.000    0.000    0.001    0.000 module.py:144(triple)
        2    0.000    0.000    0.005    0.002 groupby.py:1(<module>)
       37    0.000    0.000    0.000    0.000 datetimelike.py:1778(maybe_infer_freq)
        1    0.000    0.000    0.018    0.018 common.py:8(pyparsing_common)
       76    0.000    0.000    0.000    0.000 ffi.py:253(__del__)
      158    0.000    0.000    0.003    0.000 templates.py:1053(make_overload_method_template)
       34    0.000    0.000    0.000    0.000 pyparsing.py:663(__iadd__)
        1    0.000    0.000    0.000    0.000 colorbar.py:197(__getattr__)
      360    0.000    0.000    0.000    0.000 traitlets.py:396(class_init)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.002    0.002 listobject.py:1(<module>)
      220    0.000    0.000    0.000    0.000 _arraytools.py:47(axis_reverse)
       94    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(argmax)
      110    0.000    0.000    0.000    0.000 fromnumeric.py:198(reshape)
      109    0.000    0.000    0.001    0.000 typing.py:782(copy_with)
      154    0.000    0.000    0.002    0.000 traceback.py:285(line)
      111    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(size)
        1    0.000    0.000    0.000    0.000 values.py:543(FunctionAttributes)
       14    0.000    0.000    0.001    0.000 codegen.py:1128(_create_empty_module)
       94    0.000    0.000    0.003    0.000 decorator.py:277(decorator)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
       37    0.000    0.000    0.000    0.000 compiler_machinery.py:407(_does_pass_name_alias)
       20    0.000    0.000    0.000    0.000 indexing.py:138(slice_slice)
       20    0.000    0.000    0.000    0.000 cycler.py:364(by_key)
       15    0.000    0.000    0.003    0.000 common.py:50(new_method)
      197    0.000    0.000    0.000    0.000 _ufunc_config.py:425(__init__)
      700    0.000    0.000    0.000    0.000 __init__.py:2344(_normalize_cached)
       12    0.000    0.000    0.020    0.002 duck_array_ops.py:324(f)
       15    0.000    0.000    0.000    0.000 timedeltas.py:1040(_validate_td64_dtype)
      120    0.000    0.000    0.000    0.000 pyparsing.py:2368(__init__)
      206    0.000    0.000    0.000    0.000 __init__.py:32(set_function_name)
        1    0.000    0.000    0.000    0.000 timedeltas.py:55(TimedeltaArray)
        1    0.000    0.000    0.000    0.000 pprint.py:103(PrettyPrinter)
      108    0.000    0.000    0.000    0.000 invalid.py:38(make_invalid_op)
        1    0.000    0.000    0.015    0.015 _discrete_distns.py:5(<module>)
        1    0.000    0.000    0.000    0.000 zeros.py:1(<module>)
       37    0.000    0.000    0.000    0.000 argparse.py:269(add_argument)
        1    0.000    0.000    0.101    0.101 rcsetup.py:1(<module>)
       37    0.000    0.000    0.000    0.000 textwrap.py:146(_munge_whitespace)
      456    0.000    0.000    0.000    0.000 deprecation.py:7(_deprecated)
       13    0.000    0.000    0.048    0.004 docstring.py:55(__missing__)
        4    0.000    0.000    0.017    0.004 defaults.py:1(<module>)
       15    0.000    0.000    0.001    0.000 targets.py:9(get_process_triple)
      330    0.000    0.000    0.000    0.000 linalg.py:112(isComplexType)
       47    0.000    0.000    0.001    0.000 values.py:219(_to_string)
       12    0.000    0.000    0.001    0.000 contextlib.py:489(__exit__)
        7    0.000    0.000    0.000    0.000 merge.py:353(determine_coords)
        1    0.000    0.000    0.026    0.026 requirements.py:4(<module>)
       68    0.000    0.000    0.000    0.000 common.py:1541(_is_dtype)
      207    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
   112/55    0.000    0.000    0.002    0.000 core.py:3695(<listcomp>)
        1    0.000    0.000    0.000    0.000 _mathtext.py:223(TruetypeFonts)
        1    0.000    0.000    0.002    0.002 history.py:36(HistoryMagics)
       58    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       94    0.000    0.000    0.000    0.000 fromnumeric.py:1121(argmax)
      110    0.000    0.000    0.008    0.000 clouds.py:62(_get_all_indexes)
        2    0.000    0.000    0.001    0.000 merge.py:1(<module>)
       35    0.000    0.000    0.000    0.000 core.py:2296(__init__)
       30    0.000    0.000    0.001    0.000 __init__.py:1610(_get)
       14    0.000    0.000    0.003    0.000 core.py:116(doc_note)
        1    0.000    0.000    0.002    0.002 listobj.py:1(<module>)
      220    0.000    0.000    0.000    0.000 linalg.py:125(_realType)
        1    0.000    0.000    0.088    0.088 buffer.py:1(<module>)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
    77/62    0.000    0.000    0.000    0.000 pyparsing.py:3434(__str__)
       10    0.000    0.000    0.000    0.000 enum.py:1017(_decompose)
       12    0.000    0.000    0.017    0.001 codegen.py:720(_finalize_final_module)
      103    0.000    0.000    0.000    0.000 pathlib.py:102(join_parsed_parts)
       22    0.000    0.000    0.000    0.000 common.py:224(is_sparse)
        2    0.000    0.000    0.049    0.025 _base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 axes3d.py:43(Axes3D)
      126    0.000    0.000    0.000    0.000 dataset.py:1730(coords)
        1    0.000    0.000    0.000    0.000 base.py:592(IndexOpsMixin)
        1    0.000    0.000    0.005    0.005 pyparsing.py:5399(pyparsing_common)
       27    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        3    0.000    0.000    0.003    0.001 completion.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:17(<module>)
       42    0.000    0.000    0.000    0.000 functools.py:517(decorating_function)
       31    0.000    0.000    0.001    0.000 _base.py:68(__set_name__)
      485    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 dispatcher.py:291(add_overload)
       51    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        2    0.000    0.000    0.011    0.005 interval.py:1(<module>)
      136    0.000    0.000    0.000    0.000 _util.py:210(check_random_state)
       40    0.000    0.000    0.016    0.000 castgraph.py:119(insert_rule)
       82    0.000    0.000    0.000    0.000 token.py:34(__getattr__)
      110    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(reshape)
       63    0.000    0.000    0.001    0.000 colors.py:980(reversed)
        2    0.000    0.000    0.003    0.001 pickle.py:1(<module>)
       27    0.000    0.000    0.000    0.000 locale.py:352(_replace_encoding)
        1    0.000    0.000    0.000    0.000 formatters.py:40(Formatter)
       52    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
        1    0.000    0.000    0.000    0.000 latex_symbols.py:14(<module>)
      503    0.000    0.000    0.000    0.000 fromnumeric.py:2928(_prod_dispatcher)
      142    0.000    0.000    0.000    0.000 rcsetup.py:66(__call__)
       36    0.000    0.000    0.000    0.000 __init__.py:218(__getattr__)
       64    0.000    0.000    0.007    0.000 <__array_function__ internals>:2(nanvar)
      116    0.000    0.000    0.000    0.000 pyparsing.py:1351(preParse)
       18    0.000    0.000    0.001    0.000 variable.py:541(_to_xindex)
      9/2    0.000    0.000    0.009    0.005 pyplot.py:206(switch_backend)
       42    0.000    0.000    0.000    0.000 instructions.py:13(__init__)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
        2    0.000    0.000    0.002    0.001 hashing.py:1(<module>)
      145    0.000    0.000    0.000    0.000 copy.py:242(_keep_alive)
      221    0.000    0.000    0.000    0.000 _ni_support.py:36(_extend_mode_to_code)
       22    0.000    0.000    0.000    0.000 argparse.py:1628(__init__)
      347    0.000    0.000    0.000    0.000 enum.py:438(<genexpr>)
      203    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
      220    0.000    0.000    0.000    0.000 {method 'sort' of 'numpy.ndarray' objects}
       39    0.000    0.000    0.000    0.000 deprecation.py:352(<genexpr>)
        1    0.000    0.000    0.000    0.000 grouper.py:388(Grouping)
       37    0.000    0.000    0.000    0.000 pyparsing.py:2707(parseImpl)
        1    0.000    0.000    0.000    0.000 shlex.py:19(shlex)
       34    0.000    0.000    0.000    0.000 copyreg.py:103(_slotnames)
      160    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(column_stack)
        1    0.000    0.000    0.000    0.000 digraphs.py:2(<module>)
      407    0.000    0.000    0.000    0.000 value.py:123(is_function)
      249    0.000    0.000    0.000    0.000 _internal.py:826(<genexpr>)
        1    0.000    0.000    0.002    0.002 extras.py:1(<module>)
      284    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       72    0.000    0.000    0.000    0.000 argparse.py:641(_iter_indented_subactions)
       42    0.000    0.000    0.000    0.000 locks.py:158(__enter__)
       37    0.000    0.000    0.000    0.000 core.py:2955(parseImpl)
        1    0.000    0.000    0.000    0.000 traceback.py:318(StackSummary)
        1    0.000    0.000    0.000    0.000 util.py:125(LRUMemo)
       24    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       14    0.000    0.000    0.002    0.000 dataclasses.py:489(_init_fn)
        1    0.000    0.000    0.000    0.000 ndarray.py:1(<module>)
    33/11    0.000    0.000    0.005    0.000 argparse.py:221(format_help)
       28    0.000    0.000    0.011    0.000 __init__.py:837(rc_params_from_file)
       64    0.000    0.000    0.007    0.000 <__array_function__ internals>:2(nanstd)
      343    0.000    0.000    0.000    0.000 copy.py:107(_copy_immutable)
       82    0.000    0.000    0.000    0.000 templates.py:1182(<genexpr>)
       91    0.000    0.000    0.000    0.000 values.py:212(__init__)
      152    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
      117    0.000    0.000    0.000    0.000 dataarray.py:689(dims)
        1    0.000    0.000    0.000    0.000 mathtext.py:37(<dictcomp>)
        2    0.000    0.000    0.004    0.002 algorithms.py:1(<module>)
        3    0.000    0.000    0.002    0.001 module.py:1(<module>)
       15    0.000    0.000    0.000    0.000 timedeltas.py:161(_simple_new)
        1    0.000    0.000    0.055    0.055 helpers.py:2(<module>)
        2    0.000    0.000    0.003    0.002 datetimelike.py:1(<module>)
      498    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.003    0.003 twodim_base.py:1(<module>)
        2    0.000    0.000    0.001    0.000 function.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decomp_qr.py:1(<module>)
        6    0.000    0.000    0.058    0.010 decorators.py:1(<module>)
        1    0.000    0.000    0.002    0.002 setdecl.py:1(<module>)
       86    0.000    0.000    0.000    0.000 values.py:120(__init__)
        1    0.000    0.000    0.169    0.169 interactiveshell.py:1(<module>)
      145    0.000    0.000    0.000    0.000 inspect.py:727(getmodule)
       28    0.000    0.000    0.000    0.000 pyparsing.py:420(__setitem__)
       64    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(nanmean)
      110    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(all)
       11    0.000    0.000    0.019    0.002 module.py:29(parse_bitcode)
       33    0.000    0.000    0.001    0.000 traitlets.py:2423(__init__)
      104    0.000    0.000    0.000    0.000 alignment.py:395(is_alignable)
        1    0.000    0.000    0.000    0.000 python.py:388(Python2Lexer)
      100    0.000    0.000    0.000    0.000 formatters.py:361(_hue_to_rgb)
        1    0.000    0.000    0.000    0.000 pytables.py:80(BinOp)
       54    0.000    0.000    0.001    0.000 dispatcher.py:44(__init__)
       90    0.000    0.000    0.000    0.000 common.py:122(<genexpr>)
        1    0.000    0.000    0.001    0.001 docscrape.py:136(NumpyDocString)
        1    0.000    0.000    0.000    0.000 dataflow.py:10(DataFlowAnalysis)
       26    0.000    0.000    0.001    0.000 context.py:8(get_global_context)
        1    0.000    0.000    0.019    0.019 frame.py:1(<module>)
        4    0.000    0.000    0.005    0.001 methods.py:172(_create_methods)
       30    0.000    0.000    0.001    0.000 __init__.py:1403(get_metadata)
      112    0.000    0.000    0.000    0.000 base.py:3841(values)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        5    0.000    0.000    0.220    0.044 utils.py:663(try_read_magic_number_from_path)
        5    0.000    0.000    0.000    0.000 utils.py:9(get_params_from_function)
        1    0.000    0.000    0.000    0.000 scalars.py:30(Integer)
       22    0.000    0.000    0.000    0.000 dataset.py:138(_get_virtual_variable)
        1    0.000    0.000    0.001    0.001 markers.py:4(<module>)
        1    0.000    0.000    0.001    0.001 npyimpl.py:540(_register_ufuncs)
        7    0.000    0.000    0.001    0.000 nonlin.py:1610(_nonlin_wrapper)
       22    0.000    0.000    0.000    0.000 inspect.py:655(getfile)
      639    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       11    0.000    0.000    0.203    0.018 caching.py:636(load_overload)
        1    0.000    0.000    0.015    0.015 index_tricks.py:1(<module>)
       89    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
      379    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       26    0.000    0.000    0.001    0.000 core.py:6755(getdoc)
       50    0.000    0.000    0.000    0.000 common.py:492(is_interval_dtype)
        2    0.000    0.000    0.000    0.000 frequencies.py:1(<module>)
        1    0.000    0.000    0.001    0.001 groupby.py:1192(GroupBy)
       28    0.000    0.000    0.000    0.000 argparse.py:1541(_get_optional_kwargs)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
        1    0.000    0.000    0.001    0.001 config_init.py:1(<module>)
      123    0.000    0.000    0.172    0.001 netCDF4_.py:386(ds)
        4    0.000    0.000    0.005    0.001 html.py:1(<module>)
        5    0.000    0.000    0.024    0.005 context.py:1(<module>)
        1    0.000    0.000    0.003    0.003 synchronize.py:10(<module>)
        1    0.000    0.000    0.035    0.035 _distn_infrastructure.py:5(<module>)
        1    0.000    0.000    0.004    0.004 scimath.py:1(<module>)
       87    0.000    0.000    0.008    0.000 __init__.py:3268(<genexpr>)
       10    0.000    0.000    0.000    0.000 {method 'cumprod' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.152    0.051 config.py:1(<module>)
       62    0.000    0.000    0.001    0.000 core.py:1338(__add__)
        3    0.000    0.000    0.002    0.001 loader.py:1(<module>)
        5    0.000    0.000    0.032    0.006 merge.py:483(merge_data_and_coords)
        1    0.000    0.000    0.000    0.000 artist.py:95(Artist)
       27    0.000    0.000    0.000    0.000 datetimes.py:287(_simple_new)
       37    0.000    0.000    0.000    0.000 textwrap.py:179(<listcomp>)
        1    0.000    0.000    0.000    0.000 style.py:28(<dictcomp>)
        5    0.000    0.000    0.221    0.044 netCDF4_.py:516(guess_can_open)
        1    0.000    0.000    0.000    0.000 __init__.py:323(<listcomp>)
       15    0.000    0.000    0.000    0.000 executionengine.py:138(_find_module_ptr)
       25    0.000    0.000    0.002    0.000 pyparsing.py:1250(setParseAction)
       13    0.000    0.000    0.005    0.000 enum.py:528(_convert_)
        1    0.000    0.000    0.001    0.001 prompt.py:1(<module>)
        2    0.000    0.000    0.000    0.000 boxing.py:1(<module>)
      545    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
       17    0.000    0.000    0.000    0.000 templates.py:1181(__init__)
       46    0.000    0.000    0.000    0.000 six.py:110(__init__)
        1    0.000    0.000    0.000    0.000 std.py:247(tqdm)
        4    0.000    0.000    0.106    0.026 api.py:3(<module>)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
       31    0.000    0.000    0.001    0.000 _base.py:53(__init__)
       26    0.000    0.000    0.000    0.000 deprecation.py:365(<listcomp>)
       11    0.000    0.000    0.081    0.007 caching.py:647(_load_overload)
        1    0.000    0.000    0.002    0.002 type_check.py:1(<module>)
        1    0.000    0.000    0.027    0.027 series.py:1(<module>)
       10    0.000    0.000    0.000    0.000 version.py:261(__init__)
        4    0.000    0.000    0.001    0.000 missing.py:1(<module>)
        5    0.000    0.000    0.000    0.000 conventions.py:382(_update_bounds_attributes)
        1    0.000    0.000    0.000    0.000 dataarray.py:218(DataArray)
       64    0.000    0.000    0.000    0.000 nanfunctions.py:113(_copyto)
      246    0.000    0.000    0.000    0.000 typing.py:902(<genexpr>)
      192    0.000    0.000    0.000    0.000 textwrap.py:477(prefixed_lines)
       48    0.000    0.000    0.001    0.000 module.py:230(_dispose)
       14    0.000    0.000    0.001    0.000 _docstrings.py:10(__init__)
        1    0.000    0.000    0.002    0.002 utils.py:1007(_median_nancheck)
      170    0.000    0.000    0.000    0.000 pyparsing.py:3439(<genexpr>)
       15    0.000    0.000    0.000    0.000 times.py:79(_netcdf_to_numpy_timeunit)
      110    0.000    0.000    0.000    0.000 linalg.py:199(_assert_stacked_square)
        2    0.000    0.000    0.002    0.001 indexing.py:1(<module>)
    87/79    0.000    0.000    0.000    0.000 pyparsing.py:3576(__str__)
       48    0.000    0.000    0.001    0.000 module.py:241(_dispose)
       16    0.000    0.000    0.000    0.000 core.py:2444(__init__)
       11    0.000    0.000    0.003    0.000 argparse.py:1701(__init__)
       29    0.000    0.000    0.001    0.000 deprecation.py:259(rename_parameter)
       44    0.000    0.000    0.001    0.000 core.py:132(get_object_signature)
       54    0.000    0.000    0.000    0.000 registry.py:92(__getitem__)
        6    0.000    0.000    0.000    0.000 boolean.py:606(_create_comparison_method)
       25    0.000    0.000    0.001    0.000 indexing.py:427(__getitem__)
       25    0.000    0.000    0.001    0.000 core.py:250(_trim_arity)
      124    0.000    0.000    0.000    0.000 dataset.py:529(__contains__)
      816    0.000    0.000    0.000    0.000 __init__.py:2095(__bool__)
       27    0.000    0.000    0.000    0.000 __init__.py:65(check_isinstance)
       75    0.000    0.000    0.000    0.000 enum.py:415(__getattr__)
       22    0.000    0.000    0.000    0.000 common.py:1330(is_bool_dtype)
        1    0.000    0.000    0.000    0.000 bytecode.py:1(<module>)
     29/5    0.000    0.000    0.002    0.000 copy.py:226(_deepcopy_dict)
       32    0.000    0.000    0.002    0.000 variable.py:2715(copy)
       48    0.000    0.000    0.000    0.000 pyparsing.py:3540(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:1066(Path)
       15    0.000    0.000    0.006    0.000 variables.py:56(__init__)
        1    0.000    0.000    0.000    0.000 _color_data.py:2(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:381(_populate)
        2    0.000    0.000    0.002    0.001 accessor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:895(<dictcomp>)
       85    0.000    0.000    0.000    0.000 strings.py:42(__init__)
       54    0.000    0.000    0.000    0.000 posixpath.py:228(expanduser)
       68    0.000    0.000    0.000    0.000 common.py:595(condition)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       37    0.000    0.000    0.002    0.000 magic_arguments.py:228(add_to_parser)
      130    0.000    0.000    0.000    0.000 _decorators.py:332(doc)
        1    0.000    0.000    0.000    0.000 dataset.py:513(DataVariables)
       10    0.000    0.000    0.023    0.002 variable.py:533(to_index_variable)
      130    0.000    0.000    0.000    0.000 stride_tricks.py:25(_maybe_view_as_subclass)
      480    0.000    0.000    0.000    0.000 version.py:490(<lambda>)
